,"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
184,"Irvin, Jake",663623,WSH,SI,Sinker,-1.1,-7,621,28.9,182,0.354,0.551,0.425,9.2,10.4,14.4,0.34,0.54,0.412,47.6
185,"Rea, Colin",607067,MIL,SI,Sinker,0.3,2,602,29.9,182,0.253,0.42,0.337,13.6,15.4,15.5,0.287,0.443,0.347,45.3
186,"Williams, Gavin",668909,CLE,FF,4-Seam Fastball,1.0,8,767,55.3,181,0.25,0.404,0.334,24.9,20.4,17.3,0.277,0.442,0.357,45.8
187,"Johnson, Pierce",572955,ATL,CU,Curveball,0.8,5,638,58.9,181,0.229,0.406,0.301,40.0,39.8,32.4,0.207,0.341,0.265,44.9
188,"Lange, Alex",656638,DET,CU,Curveball,1.3,9,670,58.5,181,0.178,0.276,0.283,48.4,34.3,30.0,0.177,0.256,0.262,26.1
189,"Kelly, Merrill",518876,AZ,CH,Changeup,2.5,16,648,23.1,180,0.18,0.234,0.218,32.0,28.3,22.0,0.234,0.331,0.276,35.3
190,"Pérez, Eury",691587,MIA,FF,4-Seam Fastball,0.4,3,697,45.4,179,0.289,0.585,0.402,18.7,18.4,17.6,0.279,0.548,0.383,50.4
191,"Curry, Xzavion",675540,CLE,FF,4-Seam Fastball,0.5,3,723,48.4,179,0.283,0.478,0.368,19.1,15.6,16.4,0.302,0.519,0.381,53.0
192,"Greene, Hunter",668881,CIN,SL,Slider,0.1,1,842,40.3,179,0.229,0.416,0.308,39.2,37.4,22.0,0.176,0.28,0.224,34.7
193,"Stratton, Chris",608717,TEX,FF,4-Seam Fastball,1.3,10,742,54.7,178,0.188,0.286,0.259,24.6,30.3,23.4,0.2,0.366,0.293,45.6
194,"Castillo, Luis",622491,SEA,SI,Sinker,1.2,7,574,17.9,177,0.239,0.337,0.294,13.6,15.8,19.7,0.299,0.435,0.343,47.8
195,"Civale, Aaron",650644,TB,FC,Cutter,1.5,11,747,37.2,177,0.261,0.406,0.313,23.4,17.5,19.1,0.276,0.443,0.33,42.2
196,"Kershaw, Clayton",477132,LAD,FF,4-Seam Fastball,0.3,2,747,36.9,176,0.281,0.451,0.365,9.7,14.2,16.9,0.28,0.471,0.367,34.4
197,"Cole, Gerrit",543037,NYY,SL,Slider,1.4,10,683,20.8,176,0.185,0.25,0.219,32.9,29.5,18.6,0.232,0.317,0.254,32.5
198,"Scholtens, Jesse",669947,CWS,FF,4-Seam Fastball,0.0,0,629,43.5,175,0.266,0.462,0.354,14.0,10.9,11.9,0.271,0.469,0.351,37.4
199,"Pfaadt, Brandon",694297,AZ,FF,4-Seam Fastball,-1.4,-10,730,45.3,175,0.327,0.654,0.43,17.6,14.9,13.4,0.286,0.543,0.371,49.3
200,"Snell, Blake",605483,SD,CU,Curveball,3.5,22,627,19.8,175,0.079,0.14,0.138,56.3,62.3,33.5,0.099,0.164,0.149,30.9
201,"Walker, Taijuan",592836,PHI,SI,Sinker,0.8,5,660,23.3,175,0.273,0.429,0.352,10.0,16.6,22.3,0.28,0.453,0.356,41.3
202,"López, Reynaldo",625643,CLE,FF,4-Seam Fastball,0.8,6,775,64.3,174,0.188,0.319,0.302,27.1,26.4,18.5,0.229,0.395,0.34,41.8
203,"Waldichuk, Ken",686610,OAK,ST,Sweeper,-1.3,-9,691,27.1,174,0.218,0.423,0.325,32.8,33.9,21.5,0.195,0.323,0.269,34.0
204,"Eflin, Zach",621107,TB,CU,Curveball,1.4,10,679,26.3,173,0.185,0.339,0.241,34.9,37.0,25.0,0.183,0.298,0.218,25.0
205,"Montgomery, Jordan",656756,TEX,CH,Changeup,-0.2,-1,671,23.0,173,0.239,0.405,0.302,39.2,23.1,20.8,0.23,0.394,0.287,27.4
206,"Wood, Alex",622072,SF,SI,Sinker,0.2,2,762,44.6,173,0.234,0.433,0.355,24.2,22.5,17.0,0.219,0.377,0.331,41.3
207,"Bello, Brayan",678394,BOS,CH,Changeup,1.4,9,626,23.9,172,0.196,0.291,0.254,38.7,33.1,25.7,0.171,0.256,0.22,25.0
208,"Heaney, Andrew",571760,TEX,SL,Slider,-1.6,-10,655,25.2,172,0.259,0.443,0.347,29.6,30.8,20.2,0.226,0.352,0.283,43.8
