,"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
850,"McClanahan, Shane",663556,TB,SL,Slider,0.1,0,279,15.3,76,0.261,0.58,0.382,29.1,17.1,17.6,0.237,0.428,0.318,50.0
851,"Darvish, Yu",506433,SD,CU,Curveball,2.1,6,259,11.7,76,0.13,0.203,0.195,39.1,40.8,27.2,0.129,0.189,0.188,31.6
852,"Cox, Austin",680735,KC,FF,4-Seam Fastball,0.5,1,281,48.6,76,0.246,0.377,0.347,29.0,22.4,22.4,0.243,0.403,0.362,45.7
853,"Moran, Jovani",663558,MIN,FF,4-Seam Fastball,-0.8,-3,342,45.6,76,0.304,0.429,0.415,17.1,17.1,18.1,0.326,0.48,0.435,43.2
854,"Gray, Sonny",543243,MIN,FC,Cutter,2.0,7,370,13.1,76,0.257,0.357,0.289,28.2,13.2,27.0,0.299,0.447,0.336,39.7
855,"Johnson, Pierce",572955,ATL,FF,4-Seam Fastball,-2.1,-8,382,35.2,76,0.351,0.579,0.461,21.3,14.5,11.6,0.334,0.537,0.44,58.3
856,"Blach, Ty",621389,COL,CH,Changeup,-2.0,-6,279,22.1,76,0.371,0.486,0.374,20.7,11.8,9.3,0.367,0.49,0.386,39.1
857,"Peralta, Wandy",593974,NYY,SI,Sinker,1.2,4,324,36.9,76,0.219,0.25,0.28,17.1,10.5,14.5,0.255,0.328,0.319,33.3
858,"Frías, Luis",666818,AZ,FC,Cutter,1.7,4,257,47.7,75,0.254,0.373,0.317,30.9,20.0,22.4,0.261,0.376,0.319,26.9
859,"Henry, Tommy",674072,AZ,CH,Changeup,-1.1,-3,268,19.3,75,0.278,0.444,0.325,33.1,16.0,16.4,0.261,0.383,0.293,33.3
860,"Greinke, Zack",425844,KC,CU,Curveball,-2.9,-9,313,14.1,75,0.386,0.729,0.49,15.5,13.3,14.7,0.307,0.584,0.388,36.1
861,"Hudson, Dakota",641712,STL,FF,4-Seam Fastball,0.9,2,292,22.2,75,0.281,0.328,0.333,12.9,5.3,6.1,0.329,0.44,0.386,35.0
862,"Gaddis, Hunter",683769,CLE,FF,4-Seam Fastball,-0.6,-2,273,39.8,75,0.302,0.476,0.386,15.5,8.0,9.0,0.289,0.446,0.357,40.7
863,"Armstrong, Shawn",542888,TB,FC,Cutter,2.3,7,300,37.6,75,0.191,0.294,0.255,29.0,17.3,26.0,0.232,0.358,0.292,34.5
