,"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
2779,"Pint, Riley",666207,COL,SI,Sinker,-12.7,-2,16,80.0,5,0.5,1.0,0.67,0.0,0.0,0.0,0.454,0.737,0.619,100.0
2780,"Miller, Tyson",668338,LAD,SL,Slider,2.2,1,32,14.3,5,0.0,0.0,0.0,40.0,40.0,18.2,0.267,0.325,0.256,66.7
2781,"Chirinos, Yonny",630023,ATL,FF,4-Seam Fastball,1.3,0,24,1.8,5,0.0,0.0,0.14,20.0,40.0,15.4,0.306,0.336,0.371,0.0
2782,"Allard, Kolby",663465,ATL,CH,Changeup,-4.2,-1,18,9.0,5,0.4,1.0,0.58,14.3,0.0,0.0,0.313,0.693,0.415,20.0
2783,"Bristo, Braden",668754,DET,SI,Sinker,0.1,0,24,21.1,5,0.2,0.2,0.18,9.1,20.0,16.7,0.247,0.342,0.257,25.0
2784,"Fulmer, Carson",608334,LAA,CU,Curveball,2.4,1,29,18.5,5,0.0,0.0,0.28,41.7,40.0,25.0,0.023,0.028,0.293,0.0
2785,"Underwood Jr., Duane",621249,PIT,FF,4-Seam Fastball,2.6,0,12,3.6,5,0.4,0.8,0.5,14.3,0.0,0.0,0.322,0.532,0.356,60.0
2786,"Helsley, Ryan",664854,STL,CU,Curveball,-1.8,-1,43,7.1,5,0.2,0.2,0.18,40.0,40.0,13.3,0.157,0.172,0.144,33.3
2787,"Rodríguez, Yerry",666720,TEX,CH,Changeup,4.3,1,21,7.6,5,0.0,0.0,0.0,25.0,20.0,10.0,0.277,0.33,0.267,50.0
2788,"Misiewicz, Anthony",664948,NYY,SL,Slider,-9.7,-2,17,7.1,5,0.2,0.8,0.4,11.1,20.0,11.1,0.437,1.023,0.6,50.0
2789,"Latz, Jacob",656641,TEX,CH,Changeup,3.4,1,25,26.0,5,0.0,0.0,0.0,30.8,20.0,11.1,0.146,0.166,0.14,0.0
2790,"Abad, Fernando",472551,COL,CH,Changeup,-11.1,-2,19,13.5,5,0.6,1.4,0.83,0.0,0.0,0.0,0.331,0.812,0.468,80.0
2791,"Stoudt, Levi",686651,CIN,CU,Curveball,-9.6,-2,21,9.4,5,0.5,0.5,0.5,0.0,0.0,0.0,0.392,0.52,0.454,75.0
2792,"Plassmeyer, Michael",674681,PHI,SL,Slider,-20.0,-3,13,15.3,5,0.667,1.0,0.71,14.3,0.0,0.0,0.579,1.074,0.699,33.3
2793,"Pérez, Martín",527048,TEX,SL,Slider,1.2,0,22,1.0,5,0.0,0.0,0.14,20.0,20.0,14.3,0.008,0.009,0.146,0.0
2794,"Wong, Jake",673858,CIN,CU,Curveball,-29.1,-3,9,15.8,5,1.0,1.333,0.89,0.0,0.0,0.0,0.456,0.549,0.54,33.3
2795,"Bellatti, Andrew",571479,PHI,CH,Changeup,-2.0,-1,25,5.5,5,0.2,0.2,0.18,36.4,20.0,12.5,0.355,0.399,0.33,25.0
2796,"Suárez, Ranger",624133,PHI,SL,Slider,2.6,0,11,0.5,5,0.2,0.2,0.18,0.0,20.0,33.3,0.135,0.14,0.123,50.0
2797,"Bradley, Archie",605151,MIA,CU,Curveball,1.9,1,29,19.5,5,0.0,0.0,0.18,41.7,40.0,25.0,0.212,0.235,0.194,66.7
2798,"Steele, Justin",657006,CHC,CU,Curveball,1.8,0,18,0.7,5,0.0,0.0,0.0,33.3,40.0,15.4,0.243,0.275,0.226,66.7
2799,"McGee, Easton",668834,SEA,FF,4-Seam Fastball,4.2,1,16,25.0,5,0.2,0.4,0.25,33.3,20.0,33.3,0.209,0.602,0.332,25.0
2800,"Sands, Cole",663485,MIN,FC,Cutter,-7.9,-2,30,7.3,5,1.0,3.0,1.26,23.1,0.0,0.0,0.581,1.575,0.809,100.0
2801,"Richardson, Lyon",680689,CIN,CU,Curveball,-2.8,-1,36,10.9,5,0.4,1.2,0.65,8.3,20.0,25.0,0.349,0.545,0.385,50.0
2802,"Crismatt, Nabil",622503,AZ,SL,Slider,3.4,1,17,6.5,5,0.2,0.2,0.18,12.5,20.0,50.0,0.125,0.135,0.115,50.0
2803,"González, Chi Chi",592346,MIA,SL,Slider,-7.2,-2,21,28.0,5,0.75,1.0,0.75,28.6,20.0,14.3,0.516,0.726,0.563,100.0
2804,"Baumann, Mike",657508,BAL,CH,Changeup,-1.1,0,26,2.4,5,0.4,0.6,0.43,0.0,0.0,0.0,0.135,0.184,0.137,20.0
2805,"Banda, Anthony",607455,WSH,SL,Slider,-1.9,0,18,11.3,5,0.4,0.4,0.36,20.0,20.0,16.7,0.616,0.723,0.584,25.0
2806,"Hartwig, Grant",701643,NYM,CH,Changeup,-2.5,-1,27,4.2,5,0.2,0.2,0.18,50.0,40.0,25.0,0.187,0.206,0.171,0.0
2807,"Nolin, Sean",543594,MIA,CU,Curveball,-26.5,-3,11,17.7,5,0.6,1.2,0.76,28.6,20.0,25.0,0.356,0.654,0.423,75.0
2808,"Nogosek, Stephen",668665,NYM,CH,Changeup,-0.3,0,20,4.1,5,0.0,0.0,0.14,20.0,0.0,0.0,0.076,0.084,0.198,0.0
2809,"Hurt, Kyle",669165,LAD,CH,Changeup,6.5,1,12,50.0,5,0.0,0.0,0.0,50.0,40.0,40.0,0.079,0.092,0.073,0.0
2810,"Lynch IV, Daniel",663738,KC,SI,Sinker,-17.7,-3,18,2.2,5,0.8,1.4,0.94,0.0,0.0,0.0,0.636,1.281,0.809,40.0
2811,"Legumina, Casey",668984,CIN,ST,Sweeper,-9.5,-3,27,11.7,5,0.4,1.2,0.65,23.1,0.0,0.0,0.37,0.843,0.505,40.0
2812,"Daniel, Davis",669721,LAA,SL,Slider,1.3,1,40,18.3,5,0.0,0.0,0.14,18.8,0.0,0.0,0.236,0.314,0.328,25.0
2813,"Fujinami, Shintaro",660261,BAL,SL,Slider,-18.1,-3,17,1.2,5,0.75,0.75,0.68,33.3,0.0,0.0,0.564,0.736,0.588,50.0
2814,"Dermody, Matt",571616,BOS,FC,Cutter,8.2,1,13,17.1,5,0.0,0.0,0.14,27.3,0.0,0.0,0.393,0.406,0.423,0.0
2815,"Vodnik, Victor",680767,COL,SL,Slider,-1.5,0,22,11.8,5,0.4,0.4,0.36,33.3,40.0,28.6,0.192,0.292,0.207,66.7
2816,"Kershaw, Clayton",477132,LAD,CH,Changeup,-5.6,-2,35,1.7,5,0.2,0.2,0.36,60.0,20.0,12.5,0.192,0.204,0.174,0.0
2817,"Spiers, Carson",686730,CIN,SI,Sinker,3.0,1,46,15.8,5,0.0,0.0,0.14,5.3,0.0,0.0,0.234,0.321,0.331,25.0
2818,"Garza, Justin",621057,BOS,FF,4-Seam Fastball,-4.7,-1,16,4.5,5,0.0,0.0,0.46,28.6,0.0,0.0,0.051,0.061,0.31,0.0
2819,"Rogers, Taylor",573124,SF,FC,Cutter,-12.2,-2,17,2.0,5,0.6,1.8,0.98,14.3,0.0,0.0,0.616,1.813,0.995,80.0
2820,"Sweet, Devin",682967,OAK,SL,Slider,1.3,1,42,25.3,5,0.6,0.6,0.54,24.0,0.0,0.0,0.408,0.467,0.384,40.0
2821,"White, Owen",669391,TEX,SL,Slider,-18.0,-2,13,19.1,5,0.5,1.25,0.725,0.0,0.0,0.0,0.556,1.105,0.7,20.0
2822,"Palencia, Daniel",694037,CHC,CU,Curveball,3.5,1,19,3.8,5,0.0,0.0,0.0,37.5,40.0,22.2,0.207,0.234,0.191,33.3
2823,"Burdi, Zack",641420,TB,FF,4-Seam Fastball,-6.8,-2,24,32.0,5,0.6,1.2,0.75,38.5,20.0,20.0,0.348,0.771,0.47,75.0
2824,"Williamson, Brandon",682227,CIN,SL,Slider,10.3,1,14,0.7,5,0.0,0.0,0.0,27.3,20.0,20.0,0.181,0.519,0.284,25.0
2825,"Hearn, Taylor",621368,KC,SI,Sinker,-0.9,0,23,7.3,5,0.4,0.4,0.36,8.3,0.0,0.0,0.451,0.524,0.425,40.0
2826,"Otto, Glenn",657248,TEX,CU,Curveball,-10.2,-2,21,10.9,5,0.4,1.0,0.58,25.0,20.0,20.0,0.221,0.516,0.306,50.0
2827,"Senzatela, Antonio",622608,COL,CH,Changeup,2.0,0,19,15.8,5,0.2,0.2,0.18,40.0,0.0,0.0,0.276,0.329,0.264,40.0
